NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulos2017,FollowersInicio2017,FollowersFin2017
Radio Estacion 1,RadioEstacion1,L,Estación 1,405,13387,14717
Soy Chiloé,soychiloe,L,El Mercurio S.A.P,1878,12939,14693
La estrella Antofagasta,estrella_antofa,L,El Mercurio S.A.P.,3250,12822,14297
Palabra que es Noticia,palabranoticia,N,Ibero Americana Radio Chile,354,12101,14230
El Sol de Iquique,elsoldeiquique,L,El sol de Iquique,10803,12811,14104
Soy Valdivia,soyvaldiviacl,L,El Mercurio S.A.P.,3517,12827,13903
El Vacanudo,el_vacanudo,L,Grupo Mi Voz Red de Diarios Ciudadanos,2835,12645,13862
Soy Chillán,soychillan,L,El Mercurio S.A.P,2973,12004,13667
El Concecuente,elconcecuente,L,Grupo Mi Voz Red de Diarios Ciudadanos,2760,13012,13639
Iquique Radio ,IquiqueRadioCL,L,Iquique Radio,20,12169,13533
La Prensa de Curicó,laprensacurico,L,Empresa Periodística Curicó Ltda.,300,12494,13507
El Naveghable,elnaveghable,L,Grupo Mi Voz Red de Diarios Ciudadanos,2860,11805,12863
Talca Noticias,talcanoticias,L,N.E,35,10658,12756
Diario Chañarcillo,chanarcillo,L,Chañarcillo,6227,10839,12145
Diario El Ovallino,elovallino ,L,Merelec SpA ,835,10542,12085
Prensa Chiloé,PrensaChiloe,L,Prensa Chiloe,614,9641,11846
Soy San Antonio,soysanantonio,L,El Mercurio S.A.P,3671,10804,11733
El Aconcagua,elaconcagua,L,El Aconcagua,323,9396,11529
Lider San Antonio,lidersanantonio,L,El Mercurio S.A.P,2933,10474,11429
El Serenense,el_serenense,L,Red de Diarios Comunales Sociedad Limitada,2012,9585,11354
La Opiñón,laopinon,L,Inversiones y Publicaciones Comunidades Ciudadanas S.A.,3424,10214,10722
La Tribuna,latribunacl,L,Empresa Periodística Bío-Bío Ltda.,2143,8786,10548
Red Los Lagos,redloslagos,L,Merelec SpA ,725,9798,10470
Estrella del Mar ,fundacionREM,L,Fundación Radio Estrella del Mar,125,8998,10244
Radio Quellon Fm,radioquellon ,HL,Radio Quellon,976,8901,10113
Inet HD,InetTvDigital ,L,Inet TV,853,9097,10038
ITV Patagonia ,ITVnoticias,L,ITV Patagonia Ltda.,2441,8159,9624
Soy Calama,soycalama,L,El Mercurio S.A.P,2710,8710,9621
El Clarin de Chile,ELCLARINDECHILE,N,Fundación Presidente Allende,1858,9337,9595
Penquista.cl,DiarioPenquista,L,Penquista,7,8895,9550
Diario En Acción ,Diarioenaccion ,HL,Diario en Acción,85,8738,9547
El Coquimbano,diarioelcoqbano,L,Red de Diarios Comunales Sociedad Limitada,1598,7652,9432
El diario de Atacama,soycopiapo,L,El Mercurio S.A.P,2264,8397,9255
Resumen,rsumen,L,Resumen,3133,7736,9061
Digital FM Chile,DigitalFMChile,N,El Mercurio S.A.P.,25899,6903,8823
El Magallanews,elmagallanews,L,Grupo Mi Voz Red de Diarios Ciudadanos,2559,7439,8136
Putaendo Informa,PutaendoInforma,HL,Putaendo Informa,533,6679,8031
OvalleHoy.cl,DiarioOvalleHoy,HL,SOCIEDAD PERIODÍSTICA BANIC Y LANCELLOTTI LTDA,2944,6432,7834
El Divisadero Coihayque,ddivisadero,L,El Divisadero,1344,6339,7757
Red Atacama,redatacama,L,Merelec SpA ,559,6659,7574
Red Los Ríos,RedlosRios,L,Merelec SpA ,676,6941,7546
Soy Quillota,soyquillota,L,El Mercurio S.A.P,1338,6920,7377
Norte Minero,NorteMinero_CL,N,El Mercurio S.A.P.,423,6559,7309
El Siglo,elsiglochile,N,Partido Comunista de Chile,1999,5006,7024
Contivisión,TVCONTIVISION,L,Medios de Television Contivision Limitada,361,5325,6868
La Estrella de Arica,EstrelladeArica,L,El Mercurio S.A.P.,3059,5074,6617
Radio Maxima Anfofagasta,radiomaxima_fm,HL,Radio Máxima,0,5699,6424
El Trabajo de Aconcagua,diarioeltrabajo,L,El Trabajo,1487,4687,6108
Radio La Voz de la Costa ,VozdelaCosta ,L,Obispado Osorno?,51,5380,6054
Diario El Ranco,elranco,HL,El Ranco,1848,4994,5560
Aqua.cl,AQUASocial,N,Grupo Editorial Editec,2650,3837,5373
Atacama Noticias ,AtacamaNoticias,L,OPEN GROUP COMUNICACIONES LTDA.,3610,3843,5116
Canal VTV (ACONCAGUA),VTVCanal2,L,Sociedad de Comunicaciones Salto del Soldado Ltda,497,4639,5079
Verdad Ahora,verdadahoracl,N,Verdad Ahora,43,5039,5048
Elqui Global,Elquiglobal,L,CEPT Comunicaciones,567,4003,4955
Soy Talcahuano,soytalcahuano,L,El Mercurio S.A.P,185,4782,4933
